Building_Code,Date,Gas_Consumption,Month,Year,Season
G501 Staff Club Gas meter,2023-12-01,848.61,12,2023,Summer
G601,2023-12-01,579.0,12,2023,Summer
G608,2023-12-01,8081.0,12,2023,Summer
G60X,2023-12-01,3534.0,12,2023,Summer
F204,2024-01-01,3325.0,1,2024,Summer
F402,2024-01-01,4689.0,1,2024,Summer
F405,2024-01-01,0.0,1,2024,Summer
F512,2024-01-01,8585.0,1,2024,Summer
F516/17,2024-01-01,2150.0,1,2024,Summer
F603,2024-01-01,744.0,1,2024,Summer
F620 Psychology 2,2024-01-01,1662.81,1,2024,Summer
F62X,2024-01-01,1981.0,1,2024,Summer
F916,2024-01-01,109448.0,1,2024,Summer
F940,2024-01-01,18383.29,1,2024,Summer
G403 Biochemistry Gas meter,2024-01-01,53.04,1,2024,Summer
G404 Microbiology Gas meter,2024-01-01,14714.565,1,2024,Summer
G412,2024-01-01,4944.0,1,2024,Summer
G501 Staff Club Gas meter,2024-01-01,318.23,1,2024,Summer
G601,2024-01-01,60.91,1,2024,Summer
G608,2024-01-01,13589.0,1,2024,Summer
G60X,2024-01-01,27880.98,1,2024,Summer
F204,2024-02-01,1863.0,2,2024,Summer
F402,2024-02-01,2446.94,2,2024,Summer
F405,2024-02-01,0.0,2,2024,Summer
F512,2024-02-01,4818.0,2,2024,Summer
F516/17,2024-02-01,1413.0,2,2024,Summer
F603,2024-02-01,105.0,2,2024,Summer
F620 Psychology 2,2024-02-01,1061.37,2,2024,Summer
F62X,2024-02-01,1912.0,2,2024,Summer
F916,2024-02-01,135985.0,2,2024,Summer
F940,2024-02-01,24122.26,2,2024,Summer
G403 Biochemistry Gas meter,2024-02-01,28.29,2,2024,Summer
G404 Microbiology Gas meter,2024-02-01,15481.075,2,2024,Summer
G412,2024-02-01,6348.0,2,2024,Summer
G501 Staff Club Gas meter,2024-02-01,671.81,2,2024,Summer
G601,2024-02-01,121.82,2,2024,Summer
G608,2024-02-01,21312.0,2,2024,Summer
G60X,2024-02-01,2716.78,2,2024,Summer
F204,2024-03-01,1934.0,3,2024,Autumn
F402,2024-03-01,6773.0,3,2024,Autumn
F405,2024-03-01,1220.37,3,2024,Autumn
F512,2024-03-01,5952.0,3,2024,Autumn
F516/17,2024-03-01,1018.0,3,2024,Autumn
F603,2024-03-01,181.0,3,2024,Autumn
F620 Psychology 2,2024-03-01,1839.7,3,2024,Autumn
F62X,2024-03-01,906.0,3,2024,Autumn
F916,2024-03-01,105993.0,3,2024,Autumn
F940,2024-03-01,24103.95,3,2024,Autumn
G403 Biochemistry Gas meter,2024-03-01,26.17,3,2024,Autumn
G404 Microbiology Gas meter,2024-03-01,16262.565,3,2024,Autumn
G412,2024-03-01,6412.0,3,2024,Autumn
G501 Staff Club Gas meter,2024-03-01,1237.55,3,2024,Autumn
G601,2024-03-01,210.0,3,2024,Autumn
G608,2024-03-01,20620.0,3,2024,Autumn
G60X,2024-03-01,100.0,3,2024,Autumn
F204,2024-04-01,3550.0,4,2024,Autumn
F402,2024-04-01,9676.0,4,2024,Autumn
F405,2024-04-01,530.7,4,2024,Autumn
F512,2024-04-01,11562.0,4,2024,Autumn
F516/17,2024-04-01,1533.0,4,2024,Autumn
F603,2024-04-01,3314.0,4,2024,Autumn
F620 Psychology 2,2024-04-01,1096.75,4,2024,Autumn
F62X,2024-04-01,944.0,4,2024,Autumn
F916,2024-04-01,67745.0,4,2024,Autumn
F940,2024-04-01,54532.1,4,2024,Autumn
G403 Biochemistry Gas meter,2024-04-01,37.48,4,2024,Autumn
G404 Microbiology Gas meter,2024-04-01,18116.0,4,2024,Autumn
G412,2024-04-01,5634.24,4,2024,Autumn
G501 Staff Club Gas meter,2024-04-01,1152.58,4,2024,Autumn
