Meter_location,Jan_2022,Feb_2022,Mar_2022,Apr_2022,May_2022,Jun_2022,Jul_2022,Aug_2022,Sep_2022,Oct_2022,Nov_2022,Dec_2022,Jan_2023,Feb_2023,Mar_2023,Apr_2023,May_2023,Jun_2023,Jul_2023,Aug_2023,Sep_2023,Oct_2023,Nov_2023,Dec_2023,Jan_2024,Feb_2024,Mar_2024,Apr_2024,May_2024,Jun_2024,Jul_2024,Aug_2024,Sep_2024,Oct_2024,Nov_2024,Dec_2024
E811 Te Rangihiroa NW Riser DB.TRH4C Lighting Essential,0.0,0.0,0.0,0.0,0.0,0.0,12.22,219.08,332.12,413.96,290.48,256.11,159.3,226.82,346.16,314.15,340.28,289.57,12.22,219.08,332.12,413.96,290.48,256.11,318.6,453.65,692.31,628.31,680.57,579.14,585.78,681.85,645.24,692.51,0.0,0.0
E811 Te Rangihiroa NW Riser DB.TRH4C Lighting Non-Essential,0.0,0.0,0.0,0.0,0.0,0.0,0.6,10.4,82.29,30.79,29.95,9.39,13.44,32.92,71.27,72.32,88.69,64.69,0.6,10.4,82.29,30.79,29.95,9.39,26.87,65.83,142.54,144.63,177.38,129.38,99.74,162.92,140.43,181.51,0.0,0.0
E811 Te Rangihiroa NW Riser DB.TRH4C Power Essential,0.0,0.0,0.0,0.0,0.0,0.0,11.29,146.6,287.7,347.33,1275.75,2051.31,1027.94,952.52,1020.64,982.11,1011.22,973.78,11.29,146.6,287.7,347.33,1275.75,2051.31,2055.88,1905.04,2041.28,1964.22,2022.45,1947.55,2018.53,2016.3,1964.12,2031.69,0.0,0.0
E811 Te Rangihiroa NW Riser DB.TRH4C Power Non-Essential,0.0,0.0,0.0,0.0,0.0,0.0,14.64,149.79,56.55,96.43,98.34,131.25,67.68,101.48,181.21,177.78,190.46,140.54,14.64,149.79,56.55,96.43,98.34,131.25,135.36,202.96,362.42,355.55,380.92,281.09,266.18,350.83,321.18,366.03,0.0,0.0
E811 Te Rangihiroa NW Riser DB.TRH5C Lighting Essential,0.0,0.0,0.0,0.0,0.0,0.0,15.83,279.21,425.05,664.99,300.05,260.44,177.92,248.66,387.27,339.42,350.86,312.61,15.83,279.21,425.05,664.99,300.05,260.44,355.85,497.31,774.54,678.84,701.72,625.22,652.12,695.48,668.14,725.16,0.0,0.0
E811 Te Rangihiroa NW Riser DB.TRH5C Lighting Non-Essential,0.0,0.0,0.0,0.0,0.0,0.0,0.74,10.72,88.94,27.72,88.59,60.88,37.51,65.64,134.81,137.39,151.82,109.02,0.74,10.72,88.94,27.72,88.59,60.88,75.01,131.28,269.62,274.78,303.65,218.04,226.51,286.45,276.65,283.51,0.0,0.0
E811 Te Rangihiroa NW Riser DB.TRH5C Power Essential,0.0,0.0,0.0,0.0,0.0,0.0,12.32,188.73,332.82,371.77,1298.6,2092.29,1062.84,996.67,1060.55,1027.6,1060.21,1026.24,12.32,188.73,332.82,371.77,1298.6,2092.29,2125.69,1993.34,2121.1,2055.19,2120.42,2052.48,2116.62,2113.74,2050.99,2119.88,0.0,0.0
E811 Te Rangihiroa NW Riser DB.TRH5C Power Non-Essential,0.0,0.0,0.0,0.0,0.0,0.0,10.79,111.85,49.08,129.49,129.71,119.43,63.44,109.5,190.26,155.86,173.41,135.78,10.79,111.85,49.08,129.49,129.71,119.43,126.88,219.01,380.51,311.72,346.82,271.55,357.29,390.34,310.44,335.2,0.0,0.0
E811 Te Rangihiroa NW Riser DB.TRH6A Lighting Essential,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E811 Te Rangihiroa NW Riser DB.TRH6A Lighting Non-Essential,0.0,0.0,0.0,0.0,0.0,0.0,0.42,13.79,437.44,232.78,261.72,110.54,94.16,44.54,50.49,7.54,23.45,13.37,0.42,13.79,437.44,232.78,261.72,110.54,188.33,89.09,100.98,15.09,46.9,26.74,41.64,44.13,87.2,19.12,0.0,0.0
